input,used_url,status,file,error
https://airtel.in:443,https://airtel.in:443,success,airtel_in.png,
https://airtelgrowth.airtel.in:443,https://airtelgrowth.airtel.in:443,success,airtelgrowth_airtel_in.png,
https://assets.airtel.in:443,https://assets.airtel.in:443,success,assets_airtel_in.png,
https://chatbot.airtel.in:443,https://chatbot.airtel.in:443,success,chatbot_airtel_in.png,
https://airtelcms.airtel.in:443,https://airtelcms.airtel.in:443,success,airtelcms_airtel_in.png,
https://buyer-uat.airtel.in:443,https://buyer-uat.airtel.in:443,success,buyer_uat_airtel_in.png,
https://buyer.airtel.in:443,https://buyer.airtel.in:443,success,buyer_airtel_in.png,
https://blogassets.airtel.in:443,https://blogassets.airtel.in:443,success,blogassets_airtel_in.png,
https://cm.airtel.in:443,https://cm.airtel.in:443,success,cm_airtel_in.png,
https://alpha.airtel.in:443,https://alpha.airtel.in:443,success,alpha_airtel_in.png,
https://brandstories.airtel.in:443,https://brandstories.airtel.in:443,success,brandstories_airtel_in.png,
https://airtel-advantage.airtel.in:443,https://airtel-advantage.airtel.in:443,success,airtel_advantage_airtel_in.png,
https://ddos-pr.airtelsecure.airtel.in:443,https://ddos-pr.airtelsecure.airtel.in:443,success,ddos_pr_airtelsecure_airtel_in.png,
https://digi-api.airtel.in:443,https://digi-api.airtel.in:443,success,digi_api_airtel_in.png,
https://digianalytics.airtel.in:443,https://digianalytics.airtel.in:443,success,digianalytics_airtel_in.png,
https://digimate.airtel.in:443,https://digimate.airtel.in:443,success,digimate_airtel_in.png,
https://cdn.smartapi.airtel.in:443,https://cdn.smartapi.airtel.in:443,success,cdn_smartapi_airtel_in.png,
http://bankingpoint.airtel.in:80,http://bankingpoint.airtel.in:80,success,bankingpoint_airtel_in.png,
https://dashboard.airtel-advantage.airtel.in:443,https://dashboard.airtel-advantage.airtel.in:443,success,dashboard_airtel_advantage_airtel_in.png,
https://eft.airtel.in:443,https://eft.airtel.in:443,success,eft_airtel_in.png,
https://digi-api1.airtel.in:443,https://digi-api1.airtel.in:443,success,digi_api1_airtel_in.png,
https://dltconnect.airtel.in:443,https://dltconnect.airtel.in:443,success,dltconnect_airtel_in.png,
https://al.airtel.in:443,https://al.airtel.in:443,success,al_airtel_in.png,
https://enterprisengin.airtel.in:443,https://enterprisengin.airtel.in:443,success,enterprisengin_airtel_in.png,
https://developers.airtel.in:443,https://developers.airtel.in:443,success,developers_airtel_in.png,
https://es.airtel.in:443,https://es.airtel.in:443,success,es_airtel_in.png,
https://esbapi.airtel.in:443,https://esbapi.airtel.in:443,success,esbapi_airtel_in.png,
